skmodel,average_probs,std_probs,train_sr_all,train_sr_0,train_sr_1,train_air_1,pred_sr_all,pred_sr_0,pred_sr_1,pred_air_1,accuracy,bal_accuracy,gt_accuracy,gt_bal_accuracy,gt_sr_0,gt_sr_1,gt_sr_all,accuracy_p0,accuracy_p1,gt_accuracy_p0,gt_accuracy_p1,gt_train_cm_all,gt_train_cm_p0,gt_train_cm_p1,cm_p0,cm_p1,cm_p0_gt,cm_p1_gt,experiment_name,dataset_name,study,timestamp,sample_size,class_sep,flip_percentage,cm_p0_gt_tn,cm_p0_gt_fp,cm_p0_gt_fn,cm_p0_gt_tp,cm_p1_gt_tn,cm_p1_gt_fp,cm_p1_gt_fn,cm_p1_gt_tp,cm_p0_tn,cm_p0_fp,cm_p0_fn,cm_p0_tp,cm_p1_tn,cm_p1_fp,cm_p1_fn,cm_p1_tp,gt_train_cm_all_tn,gt_train_cm_all_fp,gt_train_cm_all_fn,gt_train_cm_all_tp,gt_train_cm_p0_tn,gt_train_cm_p0_fp,gt_train_cm_p0_fn,gt_train_cm_p0_tp,gt_train_cm_p1_tn,gt_train_cm_p1_fp,gt_train_cm_p1_fn,gt_train_cm_p1_tp,data_group,train_spd_1,train_eod_1,pred_spd_p1,pred_eod_p1,fair_index
RandomForestClassifier,0.7265,0.1345,0.6043,0.6078,0.5795,0.9534,0.66,0.6641,0.6316,0.951,0.6366666666666667,0.6165510675914593,0.6366666666666667,0.6165510675914593,0.5573,0.6579,0.57,0.6163202645252716,0.6292307692307693,0.6163202645252716,0.6292307692307693,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 54  62]
 [ 34 112]]","[[ 7  6]
 [ 7 18]]","[[ 54  62]
 [ 34 112]]","[[ 7  6]
 [ 7 18]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:12:59.360933,1000,1.0,0.0,54,62,34,112,7,6,7,18,54,62,34,112,7.0,6.0,7.0,18.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,-0.04712328767123286,-0.03249999999999997,-0.04712328767123286,-0.03981164383561642
LogisticRegression,0.7206,0.0647,0.6043,0.6078,0.5795,0.9534,0.8067,0.813,0.7632,0.9387,0.6433333333333333,0.6024071807425541,0.6433333333333333,0.6024071807425541,0.5573,0.6579,0.57,0.5874468587623997,0.7292307692307692,0.5874468587623997,0.7292307692307692,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 33  83]
 [ 16 130]]","[[ 7  6]
 [ 2 23]]","[[ 33  83]
 [ 16 130]]","[[ 7  6]
 [ 2 23]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:12:59.442497,1000,1.0,0.0,33,83,16,130,7,6,2,23,33,83,16,130,7.0,6.0,2.0,23.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.029589041095890445,-0.049799999999999955,0.029589041095890445,-0.010105479452054755
SVC,0.5945,0.1749,0.6043,0.6078,0.5795,0.9534,1.0,1.0,1.0,1.0,0.57,0.5,0.57,0.5,0.5573,0.6579,0.57,0.5,0.5,0.5,0.5,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[  0 116]
 [  0 146]]","[[ 0 13]
 [ 0 25]]","[[  0 116]
 [  0 146]]","[[ 0 13]
 [ 0 25]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:12:59.512523,1000,1.0,0.0,0,116,0,146,0,13,0,25,0,116,0,146,0.0,13.0,0.0,25.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.0,0.0,0.0,0.0
LinearDiscriminantAnalysis,0.7472,0.1135,0.6043,0.6078,0.5795,0.9534,0.7933,0.7939,0.7895,0.9944,0.6233333333333333,0.5839113287093702,0.6233333333333333,0.5839113287093702,0.5573,0.6579,0.57,0.5703235710911667,0.6907692307692308,0.5703235710911667,0.6907692307692308,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 33  83]
 [ 21 125]]","[[ 6  7]
 [ 2 23]]","[[ 33  83]
 [ 21 125]]","[[ 6  7]
 [ 2 23]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:12:59.569367,1000,1.0,0.0,33,83,21,125,6,7,2,23,33,83,21,125,6.0,7.0,2.0,23.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.06383561643835622,-0.0044000000000000705,0.06383561643835622,0.029717808219178077
GradientBoostingClassifier,0.7337,0.12,0.6043,0.6078,0.5795,0.9534,0.7533,0.7557,0.7368,0.975,0.63,0.5964232286141711,0.63,0.5964232286141711,0.5573,0.6579,0.57,0.5902220122815305,0.6507692307692308,0.5902220122815305,0.6507692307692308,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 40  76]
 [ 24 122]]","[[ 6  7]
 [ 4 21]]","[[ 40  76]
 [ 24 122]]","[[ 6  7]
 [ 4 21]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:12:59.776878,1000,1.0,0.0,40,76,24,122,6,7,4,21,40,76,24,122,6.0,7.0,4.0,21.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.004383561643835576,-0.018900000000000028,0.004383561643835576,-0.007258219178082226
MLPClassifier,0.9728,0.0772,0.6043,0.6078,0.5795,0.9534,0.1033,0.1031,0.1053,1.0214,0.4533333333333333,0.5090439276485788,0.4533333333333333,0.5090439276485788,0.5573,0.6579,0.57,0.4996457250826641,0.58,0.4996457250826641,0.58,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[104  12]
 [131  15]]","[[13  0]
 [21  4]]","[[104  12]
 [131  15]]","[[13  0]
 [21  4]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:13:00.074084,1000,1.0,0.0,104,12,131,15,13,0,21,4,104,12,131,15,13.0,0.0,21.0,4.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.05726027397260275,0.0022000000000000075,0.05726027397260275,0.029730136986301378
KNeighborsClassifier,0.746,0.1384,0.6043,0.6078,0.5795,0.9534,0.7933,0.8244,0.5789,0.7022,0.5166666666666667,0.4751121991024071,0.5166666666666667,0.4751121991024071,0.5573,0.6579,0.57,0.4739607935758148,0.5307692307692308,0.4739607935758148,0.5307692307692308,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 17  99]
 [ 29 117]]","[[ 6  7]
 [10 15]]","[[ 17  99]
 [ 29 117]]","[[ 6  7]
 [10 15]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:13:00.145546,1000,1.0,0.0,17,99,29,117,6,7,10,15,17,99,29,117,6.0,7.0,10.0,15.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,-0.20136986301369864,-0.24550000000000005,-0.20136986301369864,-0.22343493150684934
QuadraticDiscriminantAnalysis,0.9998,0.0039,0.6043,0.6078,0.5795,0.9534,0.9433,0.9389,0.9737,1.037,0.5666666666666667,0.5046919624643003,0.5666666666666667,0.5046919624643003,0.5573,0.6579,0.57,0.507085498346717,0.48,0.507085498346717,0.48,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[  8 108]
 [  8 138]]","[[ 0 13]
 [ 1 24]]","[[  8 108]
 [  8 138]]","[[ 0 13]
 [ 1 24]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:13:00.263883,1000,1.0,0.0,8,108,8,138,0,13,1,24,8,108,8,138,0.0,13.0,1.0,24.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,0.014794520547945167,0.03480000000000005,0.014794520547945167,0.02479726027397261
GaussianNB,0.9457,0.0526,0.6043,0.6078,0.5795,0.9534,0.8,0.8092,0.7368,0.9106,0.6433333333333333,0.603359173126615,0.6433333333333333,0.603359173126615,0.5573,0.6579,0.57,0.5917572035899858,0.7092307692307692,0.5917572035899858,0.7092307692307692,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 34  82]
 [ 16 130]]","[[ 7  6]
 [ 3 22]]","[[ 34  82]
 [ 16 130]]","[[ 7  6]
 [ 3 22]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:13:00.317067,1000,1.0,0.0,34,82,16,130,7,6,3,22,34,82,16,130,7.0,6.0,3.0,22.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,-0.01041095890410959,-0.07240000000000002,-0.01041095890410959,-0.041405479452054805
XGBClassifier,0.8302000164985657,0.1486999988555908,0.6043,0.6078,0.5795,0.9534,0.66,0.6756,0.5526,0.818,0.6433333333333333,0.6233510131918945,0.6433333333333333,0.6233510131918945,0.5573,0.6579,0.57,0.6265942371280113,0.6276923076923078,0.6265942371280113,0.6276923076923078,"[[277   0]
 [  0 423]]","[[240   0]
 [  0 372]]","[[37  0]
 [ 0 51]]","[[ 54  62]
 [ 31 115]]","[[ 8  5]
 [ 9 16]]","[[ 54  62]
 [ 31 115]]","[[ 8  5]
 [ 9 16]]",unfair,sample_1000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:13:00.612925,1000,1.0,0.0,54,62,31,115,8,5,9,16,54,62,31,115,8.0,5.0,9.0,16.0,277,0,0,423,240.0,0.0,0.0,372.0,37,0,0,51,1.0,-0.028299999999999992,-0.14767123287671235,-0.123,-0.14767123287671235,-0.13533561643835618
